id_venta,fecha,id_cliente,id_producto,unidades,precio_unitario
V001,2026-07-01,C001,P001,2,1500
V002,2026-07-01,C002,P002,1,2200
V003,2026-07-02,C003,P003,3,850
V004,2026-07-03,C001,P002,2,2200
V005,2026-07-04,C004,P004,1,3200
V006,2026-07-05,C005,P001,4,1500
V007,2026-07-06,C006,P005,2,1100
V008,2026-07-07,C002,P003,5,850
V009,2026-07-08,C007,P002,1,2200
V010,2026-07-09,C008,P006,2,1800
V011,2026-07-10,C003,P004,2,3200
V012,2026-07-11,C009,P001,3,1500
V013,2026-07-12,C010,P007,1,2700
V014,2026-07-13,C004,P005,4,1100
V015,2026-07-14,C005,P003,2,850
V016,2026-07-15,C999,P002,1,2200
V017,2026-07-16,C006,P999,2,1400
V018,2026-07-17,C002,P001,,1500
V019,fecha_invalida,C003,P004,1,3200
V020,2026-07-19,C001,P002,ERROR,2200
V020,2026-07-19,C001,P002,ERROR,2200
